51300017056,fag,30,288
51300046098,ebc,116,108
51300163741,gcg,42,262
51300188242,bde,105,265
51300212098,fcb,20,294
51300267393,ead,16,206
51300309778,dcd,276,153
51300324702,fca,195,28
51300334791,dea,265,163
51300387268,gbg,41,177
51300388468,gfe,90,169
51300419233,eeb,182,278
51300421179,dgg,294,10
51300493888,dfd,294,155
51300518205,fde,197,16
51300520236,fgf,124,84
51300530914,adc,58,155
51300555332,aba,117,62
51300584905,bcd,136,163
51300587122,eef,181,90
51300590237,cba,179,171
51300591922,bge,55,261
51300610491,dfg,231,116
51300656423,agd,137,60
51300697601,fba,79,222
51300703040,dbg,190,31
51300716988,bfe,224,19
51300809809,cca,82,7
51300811783,aed,135,219
51300824144,eda,199,283
51300828087,gae,136,205
51300829561,eac,140,227
51300830756,gcf,236,150
51300837786,ebd,108,10
51300844397,gdf,75,159
51300867008,ead,204,168
51300881173,dfa,76,85
51300928445,dga,252,274
51300977519,bce,3,226
51300985204,fda,208,294
51300998780,dfc,61,237
51301013865,gbc,30,118
51301096675,cef,279,114
51301101025,fed,221,102
51301125198,bbd,219,94
51301167688,cad,255,192
51301171026,ecd,96,46
51301180578,aaa,283,240
51301181337,dec,35,232
51301190913,ffc,54,285
51301251048,bgd,114,273
51301259509,bbb,81,123
51301281330,bag,198,270
51301350056,eeg,222,201
51301397155,ccd,283,252
51301403392,dge,80,283
51301422604,fee,30,280
51301424279,cfc,44,120
51301438700,egb,189,211
51301466615,ccg,259,16
51301518684,ddg,22,142
51301539423,gcf,156,133
51301551913,cdb,126,187
51301568276,fad,123,278
51301579402,gde,111,279
51301610770,gag,88,170
51301619586,eae,107,298
51301635421,eea,263,290
51301639231,bba,264,153
51301683335,cda,49,117
51301753898,fbd,35,73
51301780438,caf,15,37
51301781039,dce,255,178
51301784607,cbg,157,121
51301830258,fee,52,285
51301864352,bdd,200,178
51301867122,fbf,140,266
51301890004,geg,33,252
51301907532,dcf,107,138
51301945979,afe,235,264
51301957161,cge,118,177
51301971605,eae,73,295
51301977715,bef,13,277
51301979857,aac,52,107
51301997426,bgg,36,182
51302001535,eae,217,238
51302053855,ced,107,14
51302080525,ede,90,283
51302085048,efg,99,81
51302100925,cfg,291,118
51302101987,cge,90,178
51302178110,aac,106,95
51302182192,bdg,174,161
51302193988,ebg,273,98
51302291847,fea,78,257
51302341431,fbg,15,133
51302357876,adb,89,83
51302374969,egd,129,175
51302385070,aeb,98,35
51302399286,edc,146,144
51302427321,dgg,268,8
51302428664,bbc,59,201
51302463442,fbd,249,64
51302481941,dfd,254,130
51302488820,ddb,131,102
51302507782,cea,190,180
51302509202,gae,199,223
51302510112,egb,179,208
51302534444,bcd,235,177
51302562097,bef,130,271
51302567221,egd,183,169
51302577555,cge,62,179
51302580081,fab,119,74
51302608829,bec,109,167
51302611411,gda,243,286
51302648867,ggb,224,52
51302658713,cga,46,221
51302707117,acc,146,62
51302716808,efe,292,276
51302728415,dec,139,269
51302766553,cec,134,224
51302779888,beb,21,84
51302786310,efe,11,287
51302799739,cab,99,275
51302800686,bca,162,49
51302889480,cfc,85,140
51302943295,afa,262,186
51302955285,fdb,109,241
51302982734,caf,194,30
51303012203,gbc,244,132
51303019240,daa,57,230
51303037105,cdg,36,10
51303089715,aag,191,43
51303095167,beg,157,49
51303193775,fcd,56,292
51303198612,dag,53,67
51303228054,bcb,16,74
51303241094,cdf,139,242
51303263699,bbf,241,36
51303299810,deb,113,134
51303301045,acb,273,106
51303308105,cbb,55,8
51303322187,fbd,245,75
51303375133,dab,298,272
51303390476,eba,31,199
51303411593,eae,62,216
51303427743,bdf,50,241
51303454107,ebd,167,9
51303470961,gag,75,171
51303564801,gbc,259,121
51303586752,gad,17,16
51303613243,cag,86,199
51303638267,cea,51,183
51303662789,bbe,81,246
51303710004,cca,64,6
51303714662,faa,248,156
51303715945,ega,5,268
51303733318,dad,150,78
51303751294,gba,229,221
51303760747,ddb,12,91
51303777542,gce,276,189
51303786020,edf,252,289
51303794827,gcb,43,179
51303808172,gdd,293,41
51303816809,edd,115,206
51303876573,fcc,94,292
51303889616,bbc,209,180
51303891256,dgd,11,125
51303916735,ege,70,131
51303921224,dbc,99,166
51303946618,afe,55,314
51303962018,eca,217,111
51303964597,gab,20,190
51304000889,dgc,259,202
51304004780,bdb,222,61
51304020047,ddf,92,78
51304040212,aaa,32,223
51304055951,gbd,115,72
51304080900,ffa,62,250
51304081993,daa,122,271
51304101789,ggg,153,79
51304112576,fae,253,111
51304116714,fed,107,121
51304136315,eaf,207,97
51304153596,beb,210,84
51304168276,bbd,162,106
51304196556,egf,82,36
51304223220,caa,94,82
51304229876,fdg,118,110
51304231711,fca,228,23
51304292654,fde,252,14
51304293100,bba,280,162
51304340061,fgg,201,147
51304352413,fff,245,113
51304356440,afb,198,20
51304373391,acc,55,62
51304423193,cfd,6,253
51304431420,fac,192,85
51304442614,faf,285,238
51304442624,gca,204,112
51304499403,aaf,197,199
51304506940,aee,81,261
51304558277,ffd,102,147
51304588554,ceg,276,265
51304600018,cbf,34,122
51304610523,dca,179,51
51304622215,geb,32,177
51304630967,ggg,165,67
51304661553,fdc,271,80
51304704470,bbb,163,105
51304752958,afb,280,19
51304777274,acd,258,177
51304835362,dgb,130,283
51304843365,bac,30,99
51304874050,fdd,157,231
51304887436,cag,128,214
51304898571,eed,72,201
51304933580,ged,213,11
51304952477,bbc,77,153
51304967782,ddc,63,164
51304973841,ccg,272,16
51305012261,eba,293,189
51305031881,ega,21,235
51305038180,fcb,98,285
51305044903,daf,288,233
51305071063,eee,126,97
51305094375,bgg,156,174
51305099421,cae,191,297
51305114863,cae,276,270
51305116212,gcg,5,220
51305124513,ade,295,123
51305139689,ffe,38,261
51305158458,fgf,164,93
51305174643,bdf,41,279
51305177278,fcb,232,262
51305195830,fee,180,339
51305236545,dfd,170,139
51305243357,gde,211,279
51305273347,ccb,263,167
51305276801,cff,167,123
51305315937,cgd,41,254
51305326029,ecd,240,43
51305327104,fbf,286,295
51305383124,gfd,102,37
51305400999,bbg,193,73
51305410419,daf,164,263
51305438468,dde,225,79
51305454591,caf,131,34
51305459576,ccc,114,193
51305485072,fca,296,25
51305500281,acd,284,162
51305503261,fbb,147,264
51305510060,gfc,289,299
51305516948,ecg,122,28
51305543694,acf,213,8
51305580793,fgc,241,198
51305593607,bae,249,170
51305602113,bdc,107,171
51305641991,fcf,107,213
51305650757,cbc,189,228
51305663040,ace,180,23
51305672425,bag,293,259
51305674446,dbd,75,119
51305684334,aaf,100,220
51305686403,afd,174,25
51305693709,gcc,119,88
51305721236,bfe,258,15
51305741636,edd,262,232
51305748602,bff,277,41
51305749229,cca,219,6
51305749528,aad,100,279
51305774112,bac,107,113
51305803695,bgg,247,186
51305842064,gga,30,266
51305915397,deb,182,112
51305922195,beb,172,84
51305922534,gbf,85,120
51305945621,ffd,127,133
51305973181,aee,31,284
51305986167,dee,106,247
51305990425,abg,38,212
51306010424,fec,54,188
51306036634,bbe,283,199
51306039157,cac,240,188
51306080796,fbe,113,5
51306083507,fdd,14,249
51306119000,bbg,210,58
51306133164,fdf,269,161
51306145164,bcb,153,65
51306150406,afc,162,189
51306169921,aeg,205,69
51306182571,aaa,45,202
51306184886,dbe,291,289
51306222709,dbd,251,110
51306234653,fce,233,94
51306235308,deb,42,127
51306292554,dgf,242,162
51306297487,ebc,287,101
51306337108,abd,30,133
51306338695,eba,24,202
51306350000,fbe,9,5
51306351622,dcb,55,77
51306364724,ebc,275,114
51306378486,cbc,191,239
51306401596,fdd,197,266
51306405588,dda,258,242
51306406801,ebc,47,110
51306440008,fbf,45,321
51306443989,aff,49,299
51306445828,fae,88,101
51306456864,ddc,125,150
51306461526,edc,133,131
51306462852,geb,118,171
51306522881,dbc,189,190
51306531529,aca,138,67
51306562837,cee,188,274
51306581872,eab,64,193
51306585844,bfc,282,132
51306605481,ffb,80,173
51306610688,dcg,11,137
